dept_id,dept_name,difficulty,n,ladder_len,ladder,rank0,rank1,rank2,rank3,rank4,rank5,rank6,pct_at_top,mean_final_rank_idx,mean_promotions,p25_promotions,p50_promotions,p75_promotions,mean_prom_good,mean_idx_good,mean_prom_bad,mean_idx_bad,mean_prom_random,mean_idx_random,mean_prom_mixed,mean_idx_mixed
caizhi,财政部门,easy,500,5,科员/副科级/正科级/副处级/正处级,0,0,121,8,371,0,0,74.2,3.5,3.5,3.0,4.0,4.0,4,4,2.032,2.032,3.968,3.968,4,4
caizhi,财政部门,hard,500,5,科员/副科级/正科级/副处级/正处级,0,125,136,239,0,0,0,0.0,2.228,2.228,1.75,2.0,3.0,3,3,1,1,2.088,2.088,2.824,2.824
caizhi,财政部门,normal,500,5,科员/副科级/正科级/副处级/正处级,0,115,14,130,241,0,0,48.2,2.994,2.994,2.0,3.0,4.0,4,4,1.08,1.08,3.072,3.072,3.824,3.824
fagaB,发改委,easy,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,0,114,12,113,261,0,52.2,4.042,4.042,3.0,5.0,5.0,5,5,2.088,2.088,4.152,4.152,4.928,4.928
fagaB,发改委,hard,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,126,109,265,0,0,0,0.0,2.278,2.278,1.0,3.0,3.0,3,3,1,1,2.168,2.168,2.944,2.944
fagaB,发改委,normal,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,102,23,100,274,1,0,0.2,3.098,3.098,2.75,4.0,4.0,4.008,4.008,1.184,1.184,3.264,3.264,3.936,3.936
fuban,府办（政府办公室）,easy,500,5,科员/副科级/正科级/副处级/正处级,0,0,119,12,369,0,0,73.8,3.5,3.5,3.0,4.0,4.0,4,4,2.048,2.048,3.952,3.952,4,4
fuban,府办（政府办公室）,hard,500,5,科员/副科级/正科级/副处级/正处级,0,126,110,264,0,0,0,0.0,2.276,2.276,1.0,3.0,3.0,3,3,1,1,2.176,2.176,2.928,2.928
fuban,府办（政府办公室）,normal,500,5,科员/副科级/正科级/副处级/正处级,0,115,11,88,286,0,0,57.2,3.09,3.09,2.0,4.0,4.0,4,4,1.08,1.08,3.32,3.32,3.96,3.96
jiaoyu,教育部门,easy,500,4,科员/副科级/正科级/副处级,0,0,124,376,0,0,0,75.2,2.752,2.752,3.0,3.0,3.0,3,3,2.008,2.008,3,3,3,3
jiaoyu,教育部门,hard,500,4,科员/副科级/正科级/副处级,2,123,148,227,0,0,0,45.4,2.2,2.2,1.75,2.0,3.0,3,3,0.984,0.984,2.024,2.024,2.792,2.792
jiaoyu,教育部门,normal,500,4,科员/副科级/正科级/副处级,0,110,15,375,0,0,0,75.0,2.53,2.53,2.75,3.0,3.0,3,3,1.12,1.12,3,3,3,3
jiwei,纪委（纪律检查委员会）,easy,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,0,101,28,79,292,0,58.4,4.124,4.124,3.0,5.0,5.0,5,5,2.192,2.192,4.36,4.36,4.944,4.944
jiwei,纪委（纪律检查委员会）,hard,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,126,75,299,0,0,0,0.0,2.346,2.346,1.0,3.0,3.0,3,3,1,1,2.424,2.424,2.96,2.96
jiwei,纪委（纪律检查委员会）,normal,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,103,23,69,178,127,0,25.4,3.406,3.406,2.0,4.0,5.0,5,5,1.176,1.176,3.456,3.456,3.992,3.992
keji,科技部门,easy,500,5,科员/副科级/正科级/副处级/正处级,0,0,121,9,370,0,0,74.0,3.498,3.498,3.0,4.0,4.0,4,4,2.032,2.032,3.96,3.96,4,4
keji,科技部门,hard,500,5,科员/副科级/正科级/副处级/正处级,1,125,123,251,0,0,0,0.0,2.248,2.248,1.0,3.0,3.0,3,3,0.992,0.992,2.104,2.104,2.896,2.896
keji,科技部门,normal,500,5,科员/副科级/正科级/副处级/正处级,0,110,17,123,250,0,0,50.0,3.026,3.026,2.0,3.5,4.0,4,4,1.12,1.12,3.104,3.104,3.88,3.88
renda,人大,easy,500,4,代表/委员/副主任/主任,0,1,125,374,0,0,0,74.8,2.746,2.746,2.0,3.0,3.0,3,3,1.992,1.992,2.992,2.992,3,3
renda,人大,hard,500,4,代表/委员/副主任/主任,2,124,163,211,0,0,0,42.2,2.166,2.166,1.0,2.0,3.0,3,3,0.984,0.984,2.016,2.016,2.664,2.664
renda,人大,normal,500,4,代表/委员/副主任/主任,0,107,22,371,0,0,0,74.2,2.528,2.528,2.0,3.0,3.0,3,3,1.152,1.152,2.96,2.96,3,3
tongzhan,统战部,easy,500,4,科员/副科级/正科级/副处级,0,0,126,374,0,0,0,74.8,2.748,2.748,2.0,3.0,3.0,3,3,2,2,2.992,2.992,3,3
tongzhan,统战部,hard,500,4,科员/副科级/正科级/副处级,0,125,163,212,0,0,0,42.4,2.174,2.174,1.75,2.0,3.0,3,3,1,1,2.04,2.04,2.656,2.656
tongzhan,统战部,normal,500,4,科员/副科级/正科级/副处级,0,108,19,373,0,0,0,74.6,2.53,2.53,2.0,3.0,3.0,3,3,1.136,1.136,2.984,2.984,3,3
weiban,委办（党委办公室）,easy,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,0,107,19,82,292,0,58.4,4.118,4.118,3.0,5.0,5.0,5,5,2.152,2.152,4.376,4.376,4.944,4.944
weiban,委办（党委办公室）,hard,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,127,78,295,0,0,0,0.0,2.336,2.336,1.0,3.0,3.0,3,3,1,1,2.368,2.368,2.976,2.976
weiban,委办（党委办公室）,normal,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,104,21,71,177,127,0,25.4,3.404,3.404,2.75,4.0,5.0,5,5,1.168,1.168,3.464,3.464,3.984,3.984
xuanchuanB,宣传部,easy,500,5,科员/副科级/正科级/副处级/正处级,0,0,124,3,373,0,0,74.6,3.498,3.498,3.0,4.0,4.0,4,4,2.008,2.008,3.984,3.984,4,4
xuanchuanB,宣传部,hard,500,5,科员/副科级/正科级/副处级/正处级,1,125,124,250,0,0,0,0.0,2.246,2.246,1.0,2.5,3.0,3,3,1,1,2.096,2.096,2.888,2.888
xuanchuanB,宣传部,normal,500,5,科员/副科级/正科级/副处级/正处级,0,99,31,130,240,0,0,48.0,3.022,3.022,2.0,3.0,4.0,4,4,1.208,1.208,3.032,3.032,3.848,3.848
zhengfaB,政法委,easy,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,0,110,18,101,271,0,54.2,4.066,4.066,3.0,5.0,5.0,5,5,2.12,2.12,4.208,4.208,4.936,4.936
zhengfaB,政法委,hard,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,126,105,269,0,0,0,0.0,2.286,2.286,1.0,3.0,3.0,3,3,1,1,2.216,2.216,2.928,2.928
zhengfaB,政法委,normal,500,6,科员/副科级/正科级/副处级/正处级/副厅级,0,106,22,84,288,0,0,0.0,3.108,3.108,2.0,4.0,4.0,4,4,1.152,1.152,3.304,3.304,3.976,3.976
zhengxie,政协,easy,500,3,委员/常委/副主席,0,0,500,0,0,0,0,100.0,2,2,2.0,2.0,2.0,2,2,2,2,2,2,2,2
zhengxie,政协,hard,500,3,委员/常委/副主席,0,126,374,0,0,0,0,74.8,1.748,1.748,1.0,2.0,2.0,2,2,1,1,1.992,1.992,2,2
zhengxie,政协,normal,500,3,委员/常委/副主席,0,111,389,0,0,0,0,77.8,1.778,1.778,2.0,2.0,2.0,2,2,1.12,1.12,1.992,1.992,2,2
zuzhiB,组织部,easy,500,7,科员/副科级/正科级/副处级/正处级/副厅级/正厅级,0,0,109,17,81,158,135,27.0,4.386,4.386,3.0,5.0,6.0,6,6,2.128,2.128,4.368,4.368,5.048,5.048
